iter	Passed	Remaining
693	1411	622
694	1412	619
695	1412	617
696	1413	614
697	1414	612
698	1415	609
699	1416	606
700	1417	604
701	1417	601
702	1418	599
703	1419	596
704	1420	594
705	1420	591
706	1421	589
707	1422	586
708	1423	584
709	1424	581
710	1424	579
711	1425	576
712	1426	574
713	1427	571
714	1428	569
715	1428	566
716	1429	564
717	1430	561
718	1431	559
719	1432	556
720	1433	554
721	1433	552
722	1434	549
723	1435	547
724	1436	544
725	1437	542
726	1437	539
727	1438	537
728	1439	535
729	1440	532
730	1441	530
731	1441	527
732	1442	525
733	1443	523
734	1444	520
735	1445	518
736	1446	516
737	1446	513
738	1447	511
739	1448	508
740	1449	506
741	1449	504
742	1450	501
743	1451	499
744	1452	497
745	1453	494
746	1453	492
747	1454	490
748	1455	487
749	1456	485
750	1457	483
751	1457	480
752	1458	478
753	1459	476
754	1460	473
755	1461	471
756	1462	469
757	1462	467
758	1463	464
759	1464	462
760	1465	460
761	1466	457
762	1466	455
763	1467	453
764	1468	451
765	1469	448
766	1470	446
767	1471	444
768	1471	442
769	1472	439
770	1473	437
771	1474	435
772	1475	433
773	1476	430
774	1476	428
775	1477	426
776	1478	424
777	1479	422
778	1480	419
779	1481	417
780	1481	415
781	1482	413
782	1483	411
783	1484	408
784	1485	406
785	1485	404
786	1486	402
787	1487	400
788	1488	398
789	1489	395
790	1490	393
791	1490	391
792	1491	389
793	1492	387
794	1493	385
795	1494	382
796	1494	380
797	1495	378
798	1496	376
799	1497	374
800	1498	372
801	1499	370
802	1500	367
803	1500	365
804	1501	363
805	1502	361
806	1503	359
807	1504	357
808	1504	355
809	1505	353
810	1506	351
811	1507	348
812	1508	346
813	1508	344
814	1509	342
815	1510	340
816	1511	338
817	1512	336
818	1512	334
819	1513	332
820	1514	330
821	1515	328
822	1516	326
823	1516	323
824	1517	321
825	1518	319
826	1519	317
827	1520	315
828	1520	313
829	1521	311
830	1522	309
831	1523	307
832	1524	305
833	1524	303
834	1525	301
835	1526	299
836	1527	297
837	1528	295
838	1529	293
839	1530	291
840	1531	289
841	1531	287
842	1532	285
843	1533	283
844	1534	281
845	1535	279
846	1535	277
847	1536	275
848	1537	273
849	1538	271
850	1539	269
851	1539	267
852	1540	265
853	1541	263
854	1542	261
855	1543	259
856	1544	257
857	1544	255
858	1545	253
859	1546	251
860	1547	249
861	1548	247
862	1548	245
863	1549	243
864	1550	241
865	1551	240
866	1552	238
867	1552	236
868	1553	234
869	1554	232
870	1555	230
871	1556	228
872	1556	226
873	1557	224
874	1558	222
875	1559	220
876	1560	218
877	1560	216
878	1561	214
879	1562	213
880	1563	211
881	1563	209
882	1564	207
883	1565	205
884	1566	203
885	1567	201
886	1567	199
887	1568	197
888	1569	195
889	1570	194
890	1571	192
891	1572	190
892	1573	188
893	1574	186
894	1575	184
895	1576	182
896	1576	181
897	1577	179
898	1578	177
899	1579	175
900	1580	173
