iter	Passed	Remaining
226	862	2937
227	864	2928
228	867	2919
229	869	2910
230	871	2902
231	874	2894
232	877	2887
233	879	2878
234	881	2870
235	883	2860
236	886	2853
237	888	2845
238	890	2836
239	893	2827
240	895	2819
241	897	2811
242	899	2803
243	903	2798
244	905	2790
245	907	2783
246	909	2774
247	912	2765
248	914	2757
249	917	2753
250	920	2745
251	922	2738
252	924	2730
253	927	2723
254	929	2715
255	932	2710
256	934	2702
257	937	2695
258	939	2686
259	941	2679
260	943	2672
261	946	2667
262	949	2660
263	951	2653
264	953	2645
265	955	2637
266	958	2630
267	960	2622
268	963	2617
269	965	2609
270	967	2602
271	969	2594
272	971	2587
273	973	2580
274	976	2574
275	979	2568
276	981	2562
277	983	2555
278	986	2548
279	988	2541
280	991	2536
281	993	2530
282	995	2522
283	997	2515
284	1000	2509
285	1002	2503
286	1004	2496
287	1007	2490
288	1009	2484
289	1012	2477
290	1014	2471
291	1016	2464
292	1018	2458
293	1021	2452
294	1023	2446
295	1025	2439
296	1027	2433
297	1030	2426
298	1032	2420
299	1034	2414
300	1037	2410
301	1040	2404
302	1042	2398
303	1044	2392
304	1046	2385
305	1049	2379
306	1051	2374
307	1054	2368
308	1056	2362
309	1058	2356
310	1060	2350
311	1063	2344
312	1065	2337
313	1068	2333
314	1070	2327
315	1072	2321
316	1075	2316
317	1077	2311
318	1080	2306
319	1083	2301
320	1085	2296
321	1087	2290
322	1089	2284
323	1092	2278
324	1094	2273
325	1096	2267
326	1099	2262
327	1101	2257
328	1104	2251
329	1106	2246
330	1108	2240
331	1110	2234
332	1113	2230
333	1115	2224
334	1117	2219
335	1120	2213
336	1122	2207
337	1124	2202
338	1126	2197
339	1129	2192
340	1131	2186
341	1133	2181
342	1136	2176
343	1138	2170
344	1140	2165
345	1143	2161
346	1145	2156
347	1148	2151
348	1150	2145
349	1152	2140
350	1154	2135
351	1157	2130
352	1159	2125
353	1161	2120
354	1164	2115
355	1166	2110
356	1168	2104
357	1171	2100
358	1173	2096
359	1176	2091
360	1178	2086
361	1181	2081
362	1183	2076
363	1185	2071
364	1188	2067
365	1190	2062
366	1193	2058
367	1195	2052
368	1197	2048
369	1199	2043
370	1202	2037
371	1204	2033
372	1207	2029
373	1209	2024
374	1211	2019
375	1214	2014
376	1216	2009
377	1219	2006
378	1221	2001
379	1223	1996
380	1226	1992
381	1228	1987
382	1230	1982
383	1233	1978
384	1235	1973
385	1237	1969
386	1239	1964
387	1242	1959
388	1244	1955
389	1246	1950
390	1249	1946
391	1252	1942
392	1254	1937
393	1256	1933
394	1259	1928
395	1261	1924
396	1265	1921
397	1267	1917
398	1270	1913
399	1272	1909
400	1274	1904
401	1277	1900
402	1280	1896
403	1282	1892
404	1285	1888
405	1287	1883
406	1289	1879
407	1292	1875
408	1295	1872
409	1298	1867
410	1300	1863
411	1302	1859
412	1305	1854
413	1307	1850
414	1310	1846
415	1312	1842
416	1314	1837
417	1316	1833
418	1318	1828
419	1320	1823
420	1322	1819
421	1325	1816
422	1328	1811
423	1330	1807
424	1332	1803
425	1335	1799
426	1337	1794
427	1340	1791
428	1342	1787
429	1345	1783
430	1348	1779
431	1350	1775
432	1352	1770
433	1355	1767
